folder,file,mode,w,h,opaque_frac,L_mean,L_std,S_mean,temp_RmB,pink_bias,edge_density,oxford_blue_070F34,zaffre_0313A6,dark_violet_9201CB,hollywood_cerise_F715AB,fluor_cyan_34EDF3,dom1,dom2,dom3
backgroundz,traits/backgroundz/Sweet_Shop.png,RGBA,1343,1343,1.0,114.38,38.8,0.25,30.72,9.62,3.09,0.007,0.0,0.0,0.0,0.0,#6E544D,#896D66,#A78882
backgroundz,traits/backgroundz/Sweetardio (16).png,RGBA,1393,1393,1.0,54.9,50.89,0.6942,-47.79,9.54,8.1,0.5614,0.0057,0.0,0.0,0.0,#070A22,#092759,#5B7195
backgroundz,traits/backgroundz/Sweetardio.png,RGBA,1393,1393,1.0,114.93,36.52,0.2406,31.62,4.77,3.21,0.0243,0.0,0.0,0.0,0.0,#6F5F57,#494341,#847C79
backgroundz,traits/backgroundz/Sweetardio_116 (20).png,RGBA,1393,1393,1.0,72.9,59.22,0.4105,31.87,3.28,6.79,0.4351,0.0,0.0,0.0,0.0,#151313,#3D322F,#795845
backgroundz,traits/backgroundz/The_Set.png,RGBA,1393,1393,1.0,87.31,55.71,0.2309,22.31,1.29,9.86,0.388,0.0,0.0,0.0,0.0,#1F1C1B,#9F8978,#736559
backgroundz,traits/backgroundz/Toasted.png,RGBA,1393,1393,1.0,109.01,70.87,0.433,-4.48,17.24,11.88,0.2596,0.0001,0.0,0.0,0.0,#151C41,#4A4167,#CAA2A2
backgroundz,traits/backgroundz/Tootsie_Blue.png,RGBA,1393,1393,1.0,64.42,34.32,0.556,-53.93,14.17,13.39,0.47,0.0,0.0,0.0,0.0,#162350,#25355F,#414D6E
backgroundz,traits/backgroundz/Tootsie_Cerise.png,RGBA,1393,1393,1.0,60.03,22.03,0.4076,1.33,30.2,9.76,0.4227,0.0,0.0,0.0018,0.0,#272636,#3B374D,#C73A7F
backgroundz,traits/backgroundz/UAP_Taskforce.png,RGBA,1254,1254,1.0,78.49,56.56,0.3226,-5.2,4.87,15.13,0.405,0.0,0.0,0.0,0.0,#363946,#111629,#685F5D
backgroundz,traits/backgroundz/Vanilla_Lane (1).png,RGBA,1343,1343,1.0,129.04,45.71,0.3616,48.5,-0.03,20.01,0.0205,0.0,0.0,0.0,0.0,#79614B,#9A8169,#BCA287
backgroundz,traits/backgroundz/Wheres_My_$_B1tch (1).png,RGBA,1343,1343,1.0,116.82,47.7,0.0957,-3.48,2.6,23.37,0.1176,0.0,0.0,0.0,0.0,#919195,#717074,#B3B4BA
backgroundz,traits/backgroundz/Whitehouse_Lawn.png,RGBA,1393,1393,1.0,85.52,51.22,0.2069,-4.94,1.95,10.15,0.3365,0.0,0.0,0.0,0.0,#363941,#1A1D21,#5D5C61
backgroundz,traits/backgroundz/Whitehouse_Lawn_Overlay.png,RGBA,1393,1393,0.0399,63.96,60.82,0.5071,18.47,3.27,9.57,0.5607,0.0,0.0,0.0,0.0,#0A0C12,#28252B,#6C4933
backgroundz,traits/backgroundz/Why_So_Cereal.png,RGBA,1393,1393,1.0,88.41,34.72,0.4588,-50.47,6.32,4.45,0.1432,0.0,0.0,0.0,0.0,#314769,#4D6080,#1E2D4C
backgroundz,traits/backgroundz/Winning.png,RGBA,1254,1254,1.0,92.49,55.44,0.202,16.55,-1.72,10.06,0.2674,0.0,0.0,0.0,0.0,#201D1B,#726D64,#4B453B
backgroundz,traits/backgroundz/art_mattrick_001-1-2 (1).png,RGBA,1393,1393,1.0,149.2,47.26,0.1632,-4.98,-2.36,17.9,0.0267,0.0002,0.0,0.0,0.0,#A4A8A6,#C5C8C5,#576C7D
backgroundz,traits/backgroundz/art_mattrick_001-15-2 (1).png,RGBA,1393,1393,1.0,132.69,57.3,0.0,0.0,0.0,20.31,0.1206,0.0,0.0,0.0,0.0,#A1A1A1,#C7C7C7,#7F7F7F
backgroundz,traits/backgroundz/soft_serve.png,RGBA,1393,1393,1.0,87.02,73.08,0.2382,3.91,3.07,6.58,0.4953,0.0,0.0,0.0,0.0,#191E23,#4E403F,#877372
